AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Status,Latitude,Longitude
151.0,Hà Nội,PM2.5,12.0,22.0,49.0,23.0,2.0,1013.0,83.0,151.0,2.0,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.00577,105.74842
168.0,Hà Nội,PM2.5,11.0,22.0,49.0,31.0,2.0,1013.5,121.0,168.0,2.0,23.0,3.3,2021-01-23 13:00:00,Unhealthy,21.05121,105.78232
155.0,Hà Nội,PM2.5,11.0,22.0,49.0,18.0,2.0,1013.0,89.0,155.0,2.0,23.0,3.0,2021-01-23 13:00:00,Unhealthy,21.0072,105.83572
340.0,Cao Bằng,PM10,5.0,23.7,68.9,1.0,1.0,985.9,340.0,194.0,2.0,18.0,1.0,2021-01-23 15:00:00,Hazardous,22.6782,106.245
80.0,Hồ Chí Minh,PM2.5,5.0,25.0,74.0,10.0,6.5,1009.0,42.0,80.0,5.0,27.0,4.1,2021-01-25 19:00:00,Moderate,10.782978,106.700711
161.0,Hà Nội,aqi,6.0,22.0,77.0,18.0,2.0,1015.0,49.0,65.0,2.0,21.0,3.0,2021-01-25 19:00:00,Unhealthy,21.0811211,105.8180306
139.0,Hà Nội,PM2.5,0.2,22.0,77.0,12.8,0.9,1015.0,49.0,139.0,1.6,21.0,3.0,2021-01-25 19:00:00,Unhealthy for sensitive groups,21.0215063,105.8188748
70.0,Gia Lai,PM2.5,6.0,20.4,43.4,17.0,22.0,923.4,53.0,70.0,2.0,29.0,2.0,2021-01-25 19:00:00,Moderate,13.998599,107.996482
29.0,Thừa Thiên Huế,PM2.5,1.0,23.0,88.0,10.0,6.5,1014.5,24.0,29.0,5.0,22.0,2.8,2021-01-25 15:00:00,Good,16.46226,107.596351
147.0,Hà Nội,PM2.5,23.0,22.0,77.0,23.0,1.0,1015.0,95.0,147.0,2.0,21.0,3.8,2021-01-25 18:00:00,Unhealthy for sensitive groups,21.04975,105.74187
